Fecha,Proyección,Pesimista,Optimista
2026-04-30,6535.644122140767,6521.325206542875,6548.402377342808
2026-05-31,6439.953038700588,6424.181291115611,6454.712713245804
2026-06-30,6605.614040820791,6588.111605701427,6621.627824875083
2026-07-31,6564.328440866601,6540.879041226615,6585.276700900652
2026-08-31,6526.757751307765,6498.0869021895,6550.831681194134
2026-09-30,6650.406480414372,6615.830714850938,6682.907026161607
2026-10-31,7034.745886238609,6988.334671186398,7074.404457894557
2026-11-30,7570.819861910765,7513.744470877593,7619.289352582033
2026-12-31,7174.1423335128275,7106.793304117055,7230.135911232631
2027-01-31,6452.220437537662,6372.595871428042,6516.694165440124
2027-02-28,6513.209174388263,6419.6897985459855,6594.018051857568
2027-03-31,6678.277936086978,6575.677959437472,6769.6546039733685
2027-04-30,6781.373702234699,6666.15976462935,6884.222438357871
2027-05-31,6690.074521463662,6560.035340418722,6810.655062423118
2027-06-30,6852.809485562796,6705.4028154100715,6983.186539740462
2027-07-31,6815.006583496848,6656.566378199307,6956.286216165123
2027-08-31,6781.315062309311,6607.608823050462,6937.749342516136
2027-09-30,6904.814627770049,6719.50002202884,7073.771437593535
2027-10-31,7282.135332129299,7075.63071139699,7466.916101867412
2027-11-30,7807.133302311802,7593.651773893881,8006.417850389248
