Fecha,Proyección,Pesimista,Optimista
2026-04-30,702.8858472028585,702.5434220581571,703.2113141170329
2026-05-31,696.224303811239,695.5941861471327,696.9377414096766
2026-06-30,709.5904470236833,708.3835632580514,711.0442670365401
2026-07-31,709.2847486221331,707.3594196083974,711.6597217820118
2026-08-31,703.0420659597332,700.2563991841391,706.352548588404
2026-09-30,709.8199017674865,706.0493124428795,714.2830522108393
2026-10-31,716.5156499279564,711.733611210274,722.1332589742451
2026-11-30,736.1596782228892,730.0827515823527,742.9395206166133
2026-12-31,723.7046307920704,716.5199620627403,732.1129517487893
2027-01-31,702.5817320448351,694.0306549666217,712.3728222489616
2027-02-28,715.0627433698033,705.0365253345033,726.4812843358989
2027-03-31,715.863463127525,704.4130194500328,728.959172990689
2027-04-30,715.7747433397406,702.7752598016934,730.4638409831823
2027-05-31,709.161975687822,694.1637343412194,725.6869988452805
2027-06-30,722.397489488295,705.7472950041739,740.8656431821548
2027-07-31,722.0544375003983,703.7160578258374,742.1938178071554
2027-08-31,715.9454246641153,696.4232485874921,737.9774845449728
2027-09-30,722.6934387423141,701.380662375893,747.2230662777706
2027-10-31,729.3294305334176,706.4051939031652,756.3870864643515
2027-11-30,748.9318789649536,724.3241489679224,777.3764979823517
