Fecha,Proyección,Pesimista,Optimista
2026-04-30,422.5522067848165,422.2083039478663,422.9257769526735
2026-05-31,418.4658589186608,418.03581705323916,418.9782336401718
2026-06-30,430.3422894566539,429.75447722921194,431.1222545262151
2026-07-31,426.7824272483396,425.84605724061794,427.94221897699373
2026-08-31,423.22953804444114,421.82548766363755,424.79293639816893
2026-09-30,431.6743116092769,429.7534879449508,433.80392298606125
2026-10-31,443.2647757111194,440.90486777835656,445.9011313699052
2026-11-30,472.8516272648882,469.9403099006184,476.01201599399553
2026-12-31,444.219385761319,440.64422728366844,448.0066302102686
2027-01-31,428.08291870785195,423.9329511262567,432.5990881963958
2027-02-28,434.37733118762105,429.5643778301368,439.56072809938365
2027-03-31,438.584577600981,432.9373367516763,444.43214590524997
2027-04-30,434.279008140752,428.0196327165155,441.06421194807274
2027-05-31,430.18556072406597,423.3000959164656,437.62822341340393
2027-06-30,442.02386240968264,434.1020051963514,450.0862905233469
2027-07-31,438.55904309624765,429.78852547916534,447.5847164270912
2027-08-31,435.09278367135687,425.54126324401125,444.8711790617038
2027-09-30,443.55068919899287,432.8757165827723,454.41257091424694
2027-10-31,454.97040583102125,443.5943933703513,466.4530211312017
2027-11-30,484.0228327253411,471.62532381935256,496.6572761955364
