Fecha,Proyección,Pesimista,Optimista
2026-04-30,1215.6299703868604,1213.7822549902291,1217.4421248447616
2026-05-31,1225.7959588770123,1223.8748278961157,1227.8594623211868
2026-06-30,1250.5941889133019,1248.2915615844609,1252.7954296044174
2026-07-31,1245.9299064768193,1243.2397050664722,1248.4634923241283
2026-08-31,1242.7368590260944,1239.4580584253881,1245.799935147383
2026-09-30,1260.7990136177805,1256.9449862139586,1264.6100016233909
2026-10-31,1283.05651737449,1278.59640228402,1287.3769691525108
2026-11-30,1317.3187492634463,1311.4183655767504,1322.777540749804
2026-12-31,1329.976867814028,1323.0622861558427,1336.4797380791217
2027-01-31,1286.609311726506,1278.5859982952659,1294.373480051958
2027-02-28,1303.8136056520736,1294.5375280344742,1313.160778370788
2027-03-31,1314.4997414163581,1304.4263495667872,1324.8972858624184
2027-04-30,1306.5367136696295,1294.6530170032588,1317.5277794042452
2027-05-31,1316.5220911383337,1303.5822440907618,1328.9323447581796
2027-06-30,1339.9278334880053,1325.4401580374424,1354.0522671099898
2027-07-31,1336.413040468731,1320.3060058435042,1352.4672641111795
2027-08-31,1334.52782466198,1317.3468393536716,1351.944512817501
2027-09-30,1351.6649019583829,1332.3884595599986,1370.3988759981676
2027-10-31,1374.0341669852353,1353.5272323059526,1394.0986495546517
2027-11-30,1406.7125063819256,1383.8788596549064,1428.789611571596
